"File","Plastic_type","Category","Polymer","Source","PC1","PC2","UMAP1","UMAP2"
"USE-01-R1","Polystyrene Food Waste","Food contact material","Polystyrene","Environmental",-4.97842403584624,1.35782295188902,1.052145803778,3.51485742133595
"USE-01-R2","Polystyrene Food Waste","Food contact material","Polystyrene","Environmental",-4.09649594682977,1.84143636601417,0.845157336245877,3.70117151773466
"USE-01-R3","Polystyrene Food Waste","Food contact material","Polystyrene","Environmental",-6.18926014752555,0.585607841161457,1.50801451244033,3.46404841300107
"USE-02-R1","Various Plastic Waste","Mixed plastic waste","Polyethylene; Polyethylene terephthalate; Polypropylene; Polytetrafluoroethylene","Environmental",-4.41477838820035,0.474034660646526,1.22889446059325,2.81775644549992
"USE-02-R2","Various Plastic Waste","Mixed plastic waste","Polyethylene; Polyethylene terephthalate; Polypropylene; Polytetrafluoroethylene","Environmental",-5.67711175954307,-0.473980629269854,1.59773806141377,2.85338663341654
"USE-02-R3","Various Plastic Waste","Mixed plastic waste","Polyethylene; Polyethylene terephthalate; Polypropylene; Polytetrafluoroethylene","Environmental",-4.91113349738001,-0.281930693086669,1.38394855880934,2.78481148668584
"USE-05-R1","Cigarillo Tips","Miscellaneous","Metallised Mylar","Environmental",0.105988849497877,2.59556980914433,-0.22240548241251,3.21833963084133
"USE-05-R2","Cigarillo Tips","Miscellaneous","Metallised Mylar","Environmental",-0.39215481626397,2.57113964080376,-0.429886235801168,3.29502908169911
"USE-05-R3","Cigarillo Tips","Miscellaneous","Polyethylene","Environmental",0.205533597351422,1.83249067243925,-0.410822611316766,3.34739321174312
"USE-06-R1","Textile/Fabric Face Masks","Miscellaneous","Polypropylene","Environmental",-7.76491842968326,-0.843253630554441,2.06974307744124,3.05053549358554
"USE-06-R2","Textile/Fabric Face Masks","Miscellaneous","Polypropylene","Environmental",-7.10307091227617,-0.529771338510355,1.88668159031422,2.91697606292497
"USE-06-R3","Textile/Fabric Face Masks","Miscellaneous","Polypropylene","Environmental",-6.11337594088028,0.580111322755304,1.72694463906438,3.01970786945599
"USE-07-R1","Food Containers","Food contact material","Polyethylene; Polypropylene","Environmental",-2.3803096309525,2.92015297821462,0.0953191986129618,3.42900423924681
"USE-07-R2","Food Containers","Food contact material","Polyethylene; Polypropylene","Environmental",-1.2727501732544,1.98512826371025,-0.0513769682170431,3.01102132303261
"USE-07-R3","Food Containers","Food contact material","Polyethylene; Polypropylene","Environmental",-0.276716871296468,1.26925796790924,-0.736888516945711,1.07962180045593
"USE-09-R1","Food Wrappers","Food contact material","Polypropylene","Environmental",-3.55730234030586,1.9138998994881,0.522405952263587,3.57360943418612
"USE-09-R2","Food Wrappers","Food contact material","Polypropylene","Environmental",-3.35107655142789,2.99678897616633,0.32061554886631,3.54793572478986
"USE-09-R3","Food Wrappers","Food contact material","Polypropylene","Environmental",-3.39435268953792,3.60138243482183,0.0709345938256982,3.69250222432072
"USE-11-R1","Toy Balls","Toys","Rubber","Environmental",-11.1634290420614,-2.28867263171161,2.67234613280598,3.05215597390174
"USE-11-R2","Toy Balls","Toys","Rubber","Environmental",-9.29822238543062,-1.85752128620236,2.76196972403677,3.19477176384189
"USE-11-R3","Toy Balls","Toys","Rubber","Environmental",-10.3038187067382,-2.46536844921841,2.68899702423882,3.26207950745629
